datetime,IHUALIEN3 Temperature,IHUALIEN3 Dew Point,IHUALIEN3 Humidity,IHUALIEN3 Wind,IHUALIEN3 Speed,IHUALIEN3 Gust,IHUALIEN3 Pressure,IHUALIEN3 Precip. Rate.,IHUALIEN3 Precip. Accum.,IHUALIEN3 UV,IHUALIEN3 Solar
2024-01-01 00:00:00,18.6,15.55,82.0,22.5,0.55,2.8,1014.9,0.0,0.0,0.0,0.0
2024-01-01 00:10:00,18.6,15.649999999999999,83.0,22.5,1.1,4.35,1015.0699999999999,0.0,0.0,0.0,0.0
2024-01-01 00:20:00,18.6,15.6,83.0,0.0,0.45,1.8,1015.0699999999999,0.0,0.0,0.0,0.0
2024-01-01 00:30:00,18.6,15.649999999999999,83.0,11.25,0.5,2.6,1014.9,0.0,0.0,0.0,0.0
2024-01-01 00:40:00,18.6,15.5,82.0,22.5,0.6499999999999999,1.55,1014.9,0.0,0.0,0.0,0.0
2024-01-01 00:50:00,18.5,15.45,82.0,22.5,1.1,4.4,1014.9,0.0,0.0,0.0,0.0
2024-01-01 01:00:00,18.5,15.4,82.0,22.5,0.6,3.0,1014.6099999999999,0.0,0.0,0.0,0.0
2024-01-01 01:10:00,18.5,15.55,82.5,22.5,0.1,0.9,1014.615,0.0,0.0,0.0,0.0
2024-01-01 01:20:00,18.5,15.4,82.0,56.25,0.39999999999999997,1.8,1014.56,0.0,0.0,0.0,0.0
2024-01-01 01:30:00,18.45,15.350000000000001,82.0,11.25,2.0999999999999996,7.05,1014.56,0.0,0.0,0.0,0.0
2024-01-01 01:40:00,18.4,15.3,82.0,22.5,0.5,3.2,1014.56,0.0,0.0,0.0,0.0
2024-01-01 01:50:00,18.4,15.3,82.0,33.75,1.35,4.25,1014.56,0.0,0.0,0.0,0.0
2024-01-01 02:00:00,18.3,15.2,82.0,45.0,0.25,2.0,1014.39,0.0,0.0,0.0,0.0
2024-01-01 02:10:00,18.2,15.1,82.0,33.75,2.1,6.4,1014.24,0.0,0.0,0.0,0.0
2024-01-01 02:20:00,18.2,15.05,82.0,33.75,1.5499999999999998,5.95,1014.22,0.0,0.0,0.0,0.0
2024-01-01 02:30:00,18.1,14.8,81.0,22.5,0.95,4.25,1014.22,0.0,0.0,0.0,0.0
2024-01-01 02:40:00,18.1,14.8,81.0,33.75,0.8500000000000001,3.6,1014.22,0.0,0.0,0.0,0.0
2024-01-01 02:50:00,18.0,14.7,81.0,33.75,1.6,5.25,1013.9549999999999,0.0,0.0,0.0,0.0
2024-01-01 03:00:00,18.05,14.6,80.0,45.0,2.75,7.9,1013.935,0.0,0.0,0.0,0.0
2024-01-01 03:10:00,18.1,14.75,81.0,33.75,0.65,2.5,1013.88,0.0,0.0,0.0,0.0
2024-01-01 03:20:00,18.0,14.649999999999999,81.0,33.75,0.6,2.25,1013.88,0.0,0.0,0.0,0.0
2024-01-01 03:30:00,18.0,14.5,80.0,168.75,1.1,3.65,1013.88,0.0,0.0,0.0,0.0
2024-01-01 03:40:00,18.0,14.5,80.0,180.0,0.15,1.2000000000000002,1013.88,0.0,0.0,0.0,0.0
2024-01-01 03:50:00,18.0,14.5,80.0,11.25,0.15,0.8,1013.765,0.0,0.0,0.0,0.0
2024-01-01 04:00:00,18.0,14.5,80.0,22.5,0.55,2.25,1013.8,0.0,0.0,0.0,0.0
2024-01-01 04:10:00,17.9,14.4,80.0,337.5,0.05,0.55,1013.745,0.0,0.0,0.0,0.0
2024-01-01 04:20:00,17.9,14.3,79.5,11.25,0.1,0.9,1013.685,0.0,0.0,0.0,0.0
2024-01-01 04:30:00,17.9,14.350000000000001,80.0,315.0,0.0,0.0,1013.88,0.0,0.0,0.0,0.0
2024-01-01 04:40:00,17.9,14.4,80.0,337.5,0.0,0.15,1013.88,0.0,0.0,0.0,0.0
2024-01-01 04:50:00,17.9,14.4,80.0,303.75,0.0,0.0,1013.88,0.0,0.0,0.0,0.0
2024-01-01 05:00:00,17.9,14.4,80.0,315.0,0.0,0.0,1013.88,0.0,0.0,0.0,0.0
2024-01-01 05:10:00,17.85,14.350000000000001,80.0,202.5,0.0,0.0,1014.22,0.0,0.0,0.0,0.0
2024-01-01 05:20:00,17.8,14.3,80.0,180.0,0.05,0.3,1014.22,0.0,0.0,0.0,0.0
2024-01-01 05:30:00,17.8,14.25,79.5,337.5,0.0,0.15,1014.22,0.0,0.0,0.0,0.0
2024-01-01 05:40:00,17.8,14.3,80.0,326.25,0.0,0.0,1014.56,0.0,0.0,0.0,0.0
2024-01-01 05:50:00,17.8,14.25,80.0,326.25,0.0,0.0,1014.56,0.0,0.0,0.0,0.0
2024-01-01 06:00:00,17.8,14.350000000000001,80.0,270.0,0.3,1.35,1014.56,0.0,0.0,0.0,0.0
2024-01-01 06:10:00,17.8,14.350000000000001,80.5,180.0,0.0,0.2,1014.73,0.0,0.0,0.0,0.0
2024-01-01 06:20:00,17.8,14.45,80.5,303.75,0.0,0.0,1014.9,0.0,0.0,0.0,0.0
2024-01-01 06:30:00,17.8,14.4,80.5,180.0,0.0,0.0,1015.0699999999999,0.0,0.0,0.0,0.0
2024-01-01 06:40:00,17.8,14.45,81.0,337.5,0.1,0.8999999999999999,1015.24,0.0,0.0,0.0,0.0
2024-01-01 06:50:00,17.8,14.4,80.5,326.25,0.0,0.3,1015.24,0.0,0.0,0.0,0.0
2024-01-01 07:00:00,17.85,14.350000000000001,80.0,270.0,0.05,0.55,1015.24,0.0,0.0,0.0,0.4
2024-01-01 07:10:00,17.9,14.4,80.0,292.5,0.0,0.0,1015.24,0.0,0.0,0.0,1.2
2024-01-01 07:20:00,17.9,14.7,81.5,303.75,0.0,0.0,1015.46,0.0,0.0,0.0,2.6
2024-01-01 07:30:00,17.9,14.8,82.0,258.75,0.0,0.0,1015.58,0.0,0.0,0.0,8.3
2024-01-01 07:40:00,17.8,14.7,82.0,270.0,0.0,0.0,1015.58,0.0,0.0,0.0,19.9
2024-01-01 07:50:00,17.8,14.8,83.0,292.5,0.0,0.0,1015.92,0.0,0.0,1.0,30.700000000000003
2024-01-01 08:00:00,17.85,14.65,81.5,270.0,0.0,0.0,1016.26,0.0,0.0,1.0,31.75
2024-01-01 08:10:00,17.9,15.1,83.0,270.0,0.0,0.0,1015.92,0.0,0.0,1.0,28.950000000000003
2024-01-01 08:20:00,17.9,15.149999999999999,84.0,303.75,0.15,0.3,1015.935,0.0,0.0,1.0,30.65
2024-01-01 08:30:00,17.8,15.149999999999999,84.5,157.5,0.05,0.45,1016.26,0.0,0.0,1.0,38.65
2024-01-01 08:40:00,17.65,15.0,84.5,303.75,0.0,0.0,1016.275,0.0,0.0,1.0,86.15
2024-01-01 08:50:00,17.6,14.8,83.0,315.0,0.0,0.3,1016.275,0.0,0.0,1.0,83.55
2024-01-01 09:00:00,17.7,14.95,83.5,168.75,0.05,0.2,1016.26,0.0,0.0,1.0,80.95
2024-01-01 09:10:00,17.7,15.2,85.0,292.5,0.0,0.0,1016.275,0.0,0.0,1.0,65.85
2024-01-01 09:20:00,17.65,15.1,84.5,315.0,0.0,0.0,1016.505,0.0,0.0,1.0,72.75
2024-01-01 09:30:00,17.6,14.95,84.5,292.5,0.0,0.0,1016.59,0.0,0.0,1.0,76.1
2024-01-01 09:40:00,17.65,15.05,85.0,191.25,0.0,0.0,1016.34,0.0,0.0,1.0,54.65
2024-01-01 09:50:00,17.7,15.2,85.5,303.75,0.0,0.0,1016.325,0.0,0.0,1.0,64.55000000000001
2024-01-01 10:00:00,17.7,15.2,85.0,292.5,0.0,0.0,1016.325,0.0,0.0,1.0,75.9
2024-01-01 10:10:00,17.65,15.2,85.5,281.25,0.0,0.0,1016.26,0.0,0.0,1.0,71.0
2024-01-01 10:20:00,17.6,14.9,84.0,270.0,0.0,0.0,1016.26,0.0,0.0,1.0,71.35
2024-01-01 10:30:00,17.7,15.149999999999999,85.0,315.0,0.0,0.0,1016.26,0.0,0.0,1.0,65.6
2024-01-01 10:40:00,17.8,15.05,84.0,303.75,0.0,0.0,1016.0899999999999,0.0,0.0,1.0,67.05
2024-01-01 10:50:00,17.95,15.0,83.0,146.25,0.0,0.0,1015.92,0.0,0.0,1.0,92.0
2024-01-01 11:00:00,18.0,14.9,82.0,337.5,0.0,0.0,1015.92,0.0,0.0,1.0,90.7
2024-01-01 11:10:00,18.1,15.0,82.0,191.25,0.05,0.65,1015.765,0.0,0.0,1.0,78.85
2024-01-01 11:20:00,18.15,14.9,81.0,303.75,0.05,0.35,1015.58,0.0,0.0,1.0,81.7
2024-01-01 11:30:00,18.25,14.8,80.5,326.25,0.0,0.0,1015.255,0.0,0.0,1.0,99.35
2024-01-01 11:40:00,18.35,14.75,79.5,315.0,0.05,0.3,1014.935,0.0,0.0,1.0,99.85
2024-01-01 11:50:00,18.45,14.8,79.0,180.0,0.0,0.0,1014.9,0.0,0.0,1.0,93.25
2024-01-01 12:00:00,18.5,14.850000000000001,79.0,326.25,0.0,0.0,1014.56,0.0,0.0,1.0,88.65
2024-01-01 12:10:00,18.6,15.0,79.5,213.75,0.0,0.0,1014.56,0.0,0.0,1.0,87.05
2024-01-01 12:20:00,18.7,14.95,79.0,191.25,0.05,0.5,1014.39,0.0,0.0,1.0,96.15
2024-01-01 12:30:00,18.8,15.149999999999999,79.5,225.0,0.0,0.3,1014.22,0.0,0.0,1.0,95.05000000000001
2024-01-01 12:40:00,18.8,15.25,80.0,22.5,0.15000000000000002,0.85,1013.915,0.0,0.0,1.0,78.85
2024-01-01 12:50:00,18.8,15.3,80.5,326.25,0.1,1.3,1014.05,0.0,0.0,1.0,61.0
2024-01-01 13:00:00,18.65,15.6,82.0,292.5,0.0,0.05,1013.88,0.0,0.0,1.0,51.1
